title,rating
The Shawshank Redemption,8.75
Intouchables,8.64
The Green Mile,8.61
The Godfather,8.6
12 Angry Men,8.53
One Flew Over the Cuckoo's Nest,8.45
The Godfather: Part II,8.39
The Lord of the Rings: The Return of the King,8.33
Schindler's List,8.33
La vita è bella,8.29
Se7en,8.27
The Lord of the Rings: The Two Towers,8.26
Fight Club,8.26
Goodfellas,8.25
A Beautiful Mind,8.24
The Pianist,8.23
Inception,8.23
Django Unchained,8.22
The Silence of the Lambs,8.21
The Lion King,8.2
Scarface,8.2
Shutter Island,8.14
American History X,8.14
Léon,8.11
The Boy in the Striped Pyjamas,8.09
Braveheart,8.08
Saving Private Ryan,8.08
Hacksaw Ridge,8.06
The Prestige,8.06
Good Will Hunting,8.06
Star Wars: Episode V - The Empire Strikes Back,8.05
Scent of a Woman,8.05
Apocalypse Now,8.04
Star Wars: Episode VI - Return of the Jedi,8.04
The Pursuit of Happyness,8.02
Once Upon a Time in America,8.02
The Help,8.01
"Il buono, il brutto, il cattivo.",8.01
The Notebook,8.01
Casino,8.0
Platoon,7.99
Amadeus,7.97
The Lord of the Rings: The Fellowship of the Ring,7.97
The Dark Knight,7.97
Heat,7.97
The Departed,7.97
Seven Pounds,7.94
The Deer Hunter,7.94
Hachi: A Dog's Tale,7.94
Inglourious Basterds,7.94
Snatch.,7.92
Psycho,7.92
Monty Python and the Holy Grail,7.91
Cidade de Deus,7.91
Awakenings,7.91
Sen to Chihiro no Kamikakushi,7.9
The Godfather: Part III,7.9
The Devil's Advocate,7.89
Full Metal Jacket,7.89
Star Wars,7.89
Reservoir Dogs,7.89
Zootopia,7.88
"Three Billboards Outside Ebbing, Missouri",7.86
"Girl, Interrupted",7.86
Nuovo cinema Paradiso,7.85
Enemy at the Gates,7.85
Into the Wild,7.85
A Clockwork Orange,7.84
Les choristes,7.84
Life of Brian,7.84
The Sting,7.83
Sleepers,7.82
La Migliore offerta,7.82
Requiem for a Dream,7.82
Catch Me If You Can,7.82
Hauru no ugoku shiro,7.81
Shichinin no samurai,7.81
Philadelphia,7.81
Taxi Driver,7.81
Man on Fire,7.81
How to Train Your Dragon,7.81
Carlito's Way,7.81
Mononoke-hime,7.8
Prisoners,7.8
Loving Vincent,7.8
Pink Floyd The Wall,7.8
The Game,7.8
Room,7.79
The Meaning of Life,7.79
The Sixth Sense,7.79
Law Abiding Citizen,7.79
The Shining,7.79
Alien,7.79
Fiddler on the Roof,7.78
"Lock, Stock and Two Smoking Barrels",7.77
The Butterfly Effect,7.75
Dead Poets Society,7.75
Gone Girl,7.75
Some Like It Hot,7.75
Rush,7.75
Black Hawk Down,7.74
The Illusionist,7.74
The King's Speech,7.74
The Boondock Saints,7.74
The Reader,7.74
Unforgiven,7.74
Primal Fear,7.74
Pirates of the Caribbean: Dead Man's Chest,7.73
Per qualche dollaro in più,7.73
Incendies,7.73
Pirates of the Caribbean: The Curse of the Black Pearl,7.73
Gone with the Wind,7.73
Breakfast at Tiffany's,7.72
Dallas Buyers Club,7.72
Million Dollar Baby,7.72
What's Eating Gilbert Grape,7.71
Mandariinid,7.71
Warrior,7.7
The Graduate,7.7
The Mission,7.7
Harry Potter and the Deathly Hallows: Part 2,7.7
Hotaru no Haka,7.7
The Dark Knight Rises,7.7
Edward Scissorhands,7.69
Jagten,7.69
Inside Out,7.69
The Grand Budapest Hotel,7.69
Changeling,7.69
The Blind Side,7.68
Pirates of the Caribbean: At World's End,7.68
A Bronx Tale,7.68
I Am Sam,7.68
Coach Carter,7.68
Raiders of the Lost Ark,7.67
The Usual Suspects,7.67
The Wolf of Wall Street,7.67
The Life of David Gale,7.67
Der Name der Rose,7.67
Captain Phillips,7.67
In the Name of the Father,7.67
Yip Man,7.66
Interview with the Vampire: The Vampire Chronicles,7.66
The Curious Case of Benjamin Button,7.66
The Girl with the Dragon Tattoo,7.66
How to Train Your Dragon 2,7.66
Kôkaku kidôtai,7.65
Mary and Max,7.65
Big Hero 6,7.65
Empire of the Sun,7.65
Indiana Jones and the Last Crusade,7.65
The Untouchables,7.64
The Bourne Ultimatum,7.64
Dances with Wolves,7.64
Song of the Sea,7.64
Rear Window,7.64
A Perfect World,7.63
Raging Bull,7.63
End of Watch,7.63
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7.63
9 rota,7.63
Taken,7.63
C'era una volta il West,7.63
Blade Runner,7.63
The Hobbit: An Unexpected Journey,7.62
Mystic River,7.62
Black Swan,7.62
Singin' in the Rain,7.62
The Butterfly Circus,7.62
Meet Joe Black,7.62
2001: A Space Odyssey,7.62
Perfetti sconosciuti,7.61
Tonari no Totoro,7.61
Roman Holiday,7.61
Harry Potter and the Prisoner of Azkaban,7.61
Dancer in the Dark,7.6
So weit die Füße tragen,7.6
Night on Earth,7.6
The Last Samurai,7.6
Wonder,7.6
Memoirs of a Geisha,7.59
Pride & Prejudice,7.59
Fracture,7.59
Southpaw,7.58
The Hobbit: The Desolation of Smaug,7.58
The Great Dictator,7.58
The Bourne Identity,7.58
Sherlock Holmes: A Game of Shadows,7.58
And Now for Something Completely Different,7.58
"Crna mačka, beli mačor",7.58
Star Wars: Episode III - Revenge of the Sith,7.58
The Bucket List,7.57
Inside Man,7.57
Gifted,7.57
The Elephant Man,7.57
Desert Flower,7.57
Men of Honor,7.57
Tangled,7.57
Logan,7.57
Ice Age,7.57
Limitless,7.56
Adams æbler,7.56
Citizen Kane,7.56
Lord of War,7.56
Papillon,7.56
Legends of the Fall,7.55
Crash,7.55
Rosemary's Baby,7.55
Detachment,7.55
Trois couleurs: Rouge,7.55
Demain tout commence,7.55
Cinderella Man,7.55
Dirty Harry,7.55
Searching for Sugar Man,7.55
Pay It Forward,7.55
Love Actually,7.54
Big Fish,7.54
The Hunt for Red October,7.54
The Hateful Eight,7.54
Mommy,7.54
My Sister's Keeper,7.54
Cabaret,7.54
About Time,7.54
The Martian,7.54
Finding Neverland,7.54
Harry Potter and the Goblet of Fire,7.53
Frozen,7.53
Hotel Rwanda,7.53
Falling Down,7.53
