title,rating
Obywatel Kane,8.4
Casablanca,8.5
Mechaniczna pomarancza,8.3
Przeminelo z wiatrem,8.2
Bulwar Zachodzacego Slonca,8.5
Gwiezdne wojny: Część V - Imperium kontratakuje,8.8
Grona gniewu,8.1
Siedmiu samurajów,8.7
Władca pierścieni: Drużyna Pierścienia,8.8
Obcy - decydujące starcie,8.4
Osiem i pól,8.1
Szczęki,8.0
Czas Apokalipsy,8.5
Skarb Sierra Madre,8.3
Siódma pieczęć,8.2
Swit zywych trupów,8.0
Slodkie jutro,7.6
Dzika banda,8.0
Poszukiwacze zaginionej arki,8.5
"Dr Strangelove, czyli jak przestalem sie martwic i pokochalem bombe",8.5
Sokól maltanski,8.1
Planeta malp,8.0
Poszukiwacze,8.0
Wściekły byk,8.2
Psychoza,8.5
Amerykanskie graffiti,7.5
Lista Schindlera,8.9
Obcy - 8. pasażer Nostromo,8.5
Bez przebaczenia,8.2
Zawrót glowy,8.4
Ostatni seans filmowy,8.1
American Beauty,8.4
Podwójne ubezpieczenie,8.3
Most na rzece Kwai,8.2
Czarnoksiężnik z Oz,8.0
Na Zachodzie bez zmian,8.1
Tokijska opowiesc,8.2
E.T.,7.9
"Dobry, zły i brzydki",8.9
To wspaniałe życie,8.6
Łowca androidów,8.2
Idz i patrz,8.2
Chłopcy z ferajny,8.7
Noc zywych trupów,7.9
Na nabrzezach,8.2
Szklana pułapka,8.2
Wszystko o Ewie,8.3
Siedem,8.6
W samo poludnie,8.0
Narzeczona Frankensteina,7.9
Slodkie zycie,8.1
Gwiezdne wojny,8.6
RoboCop,7.5
Dotyk zla,8.1
Taksówkarz,8.3
Smiertelne zauroczenie,7.3
Siec,8.1
Predator,7.8
Rashomon,8.3
Jezdziec znikad,7.7
Ojciec chrzestny,9.2
2001: Odyseja kosmiczna,8.3
Lowca jeleni,8.2
Lot nad kukulczym gniazdem,8.7
Pólnoc - pólnocny zachód,8.4
Podziemny krąg,8.8
Zakazane zabawy,8.0
Lawrence z Arabii,8.3
Drapiezne malenstwo,8.0
Swiatla wielkiego miasta,8.6
Butch Cassidy i Sundance Kid,8.1
Jackie Brown,7.5
Pan Smith jedzie do Waszyngtonu,8.2
Fargo,8.1
Noc w operze,8.0
Teksańska masakra piłą mechaniczną,7.5
Afrykanska królowa,7.9
Pociagi pod specjalnym nadzorem,7.8
Najlepsze lata naszego zycia,8.1
"Hud, syn farmera",7.9
JFK,8.0
Ścieżki chwały,8.4
Absolwent,8.0
Ojciec chrzestny II,9.0
Pluton,8.1
Ben Hur,8.1
Przygody Robin Hooda,8.0
Brzeg rzeki,7.1
Duch roju,8.0
Slodki smak sukcesu,8.2
Pulp Fiction,8.9
Nieznajomi z pociagu,8.0
Porwani zrzadzeniem losu przez wody lazurowego sierpniowego morza,7.7
Zródlo,8.1
Mroczny Rycerz,9.0
W pogoni za Amy,7.3
Goscie Wieczerzy Panskiej,8.1
Utalentowany pan Ripley,7.4
Szeregowiec Ryan,8.6
Rebeka,8.2
