title,rating
"
            The Wizard of Oz (1939)",9.9
"
            Citizen Kane (1941)",10.0
"
            Get Out (2017)",9.9
"
            The Third Man (1949)",9.9
"
            Mad Max: Fury Road (2015)",9.7
"
            The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920)",10.0
"
            Inside Out (2015)",9.8
"
            All About Eve (1950)",10.0
"
            Moonlight (2016)",9.8
"
            Metropolis (1927)",9.9
"
            E.T. The Extra-Terrestrial (1982)",9.8
"
            Spotlight (2015)",9.7
"
            It Happened One Night (1934)",9.8
"
            Casablanca (1942)",9.7
"
            Modern Times (1936)",10.0
"
            Singin' in the Rain (1952)",10.0
"
            The Godfather (1972)",9.8
"
            Laura (1944)",10.0
"
            The Big Sick (2017)",9.8
"
            Psycho (1960)",9.7
"
            La Grande illusion (Grand Illusion) (1938)",9.7
"
            12 Years a Slave (2013)",9.6
"
            A Hard Day's Night (1964)",9.8
"
            Wonder Woman (2017)",9.2
"
            North by Northwest (1959)",10.0
"
            Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",9.7
"
            The Maltese Falcon (1941)",10.0
"
            Boyhood (2014)",9.7
"
            Gravity (2013)",9.6
"
            The Battle of Algiers (La Battaglia di Algeri) (1967)",9.9
"
            Snow White and the Seven Dwarfs (1937)",9.8
"
            King Kong (1933)",9.8
"
            Argo (2012)",9.6
"
            Repulsion (1965)",10.0
"
            Logan (2017)",9.3
"
            The Adventures of Robin Hood (1938)",10.0
"
            Sunset Boulevard (1950)",9.8
"
            Zootopia (2016)",9.8
"
            Star Wars: Episode VII - The Force Awakens (2015)",9.3
"
            Arrival (2016)",9.4
"
            Rear Window (1954)",10.0
"
            Toy Story 3 (2010)",9.9
"
            The Bride of Frankenstein (1935)",10.0
"
            La La Land (2016)",9.2
"
            Toy Story 2 (1999)",10.0
"
            The Philadelphia Story (1940)",10.0
"
            Bicycle Thieves (Ladri di biciclette) (1949)",9.8
"
            M (1931)",10.0
"
            Selma (2015)",9.8
"
            Baby Driver (2017)",9.3
"
            All Quiet on the Western Front (1930)",10.0
"
            Seven Samurai (Shichinin no Samurai) (1956)",10.0
"
            Alien (1979)",9.7
"
            Taxi Driver (1976)",9.8
"
            12 Angry Men (Twelve Angry Men) (1957)",10.0
"
            Up (2009)",9.8
"
            The Treasure of the Sierra Madre (1948)",10.0
"
            The 400 Blows (Les Quatre cents coups) (1959)",10.0
"
            Touch of Evil (1958)",9.6
"
            The Night of the Hunter (1955)",9.8
"
            A Streetcar Named Desire (1951)",9.8
"
            The Jungle Book (2016)",9.5
"
            Manchester by the Sea (2016)",9.5
"
            Hell or High Water (2016)",9.7
"
            Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)",9.9
"
            Army of Shadows (L'Armée des ombres) (1969)",9.7
"
            Brooklyn (2015)",9.7
"
            The Babadook (2014)",9.8
"
            Finding Nemo (2003)",9.9
"
            Rosemary's Baby (1968)",9.9
"
            Lawrence of Arabia (1962)",9.8
"
            Rebecca (1940)",10.0
"
            War for the Planet of the Apes (2017)",9.3
"
            The Dark Knight (2008)",9.4
"
            The Conformist (1970)",10.0
"
            Spider-Man: Homecoming (2017)",9.2
"
            Frankenstein (1931)",10.0
"
            Rashômon (1951)",9.8
"
            The Good, the Bad and the Ugly (1966)",9.7
"
            The Wrestler (2008)",9.8
"
            The African Queen (1951)",10.0
"
            L.A. Confidential (1997)",9.9
"
            Open City (1946)",10.0
"
            Pinocchio (1940)",10.0
"
            Tokyo Story (Tôkyô monogatari) (1953)",10.0
"
            The Wages of Fear (1953)",10.0
"
            It Follows (2015)",9.7
"
            Finding Dory (2016)",9.4
"
            On the Waterfront (1954)",9.8
"
            I Am Not Your Negro (2017)",9.8
"
            The Grapes of Wrath (1940)",10.0
"
            High Noon (1952)",9.6
"
            Harry Potter and the Deathly Hallows - Part 2 (2011)",9.6
"
            Roman Holiday (1953)",9.8
"
            Captain America: Civil War (2016)",9.1
"
            Carol (2015)",9.5
"
            The Last Picture Show (1971)",10.0
"
            Moana (2016)",9.6
"
            The Hurt Locker (2009)",9.7
"
            Man on Wire (2008)",10.0
